_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
51,2.2569169229437133e+17,25,niki-152-adv-tr-gcg-imdb-small-0018,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,,True,2,m962hvss,crashed,2024-09-08T21:12:36Z,44672000,2,2,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,2.26098689296878e+17,80379007274582016000,0.0028129072125076
7,1.866894452515021e+16,3,niki-152-adv-tr-gcg-imdb-small-0010,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,,True,1,oqss2xq4,crashed,2024-09-08T21:12:36Z,44672000,2,1,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,1.8655185299658344e+16,80379007274582016000,0.0002320902674989
5,1.27055650354176e+16,2,niki-152-adv-tr-gcg-imdb-small-0010,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,,True,1,oqss2xq4,crashed,2024-09-08T21:12:36Z,44672000,2,1,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,1.2521123830409626e+16,80379007274582016000,0.0001557760447032
3,6336379149633536.0,1,niki-152-adv-tr-gcg-imdb-small-0010,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,,True,1,oqss2xq4,crashed,2024-09-08T21:12:36Z,44672000,2,1,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,6411397819228979.0,80379007274582016000,7.97645807857151e-05
1,0.0,0,niki-152-adv-tr-gcg-imdb-small-0010,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,,True,1,oqss2xq4,crashed,2024-09-08T21:12:36Z,44672000,2,1,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,0.0,80379007274582016000,0.0
95,5.5909327160738e+17,47,niki-152-adv-tr-gcg-imdb-small-0018,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,,True,2,m962hvss,crashed,2024-09-08T21:12:36Z,44672000,2,2,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,5.613182742270956e+17,80379007274582016000,0.0069833939639187
93,5.419829517974753e+17,46,niki-152-adv-tr-gcg-imdb-small-0018,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,,True,2,m962hvss,crashed,2024-09-08T21:12:36Z,44672000,2,2,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,5.438680890449101e+17,80379007274582016000,0.006766295174398
9,2.5441402624679936e+16,4,niki-152-adv-tr-gcg-imdb-small-0010,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,,True,1,oqss2xq4,crashed,2024-09-08T21:12:36Z,44672000,2,1,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-1,2.5515728942439628e+16,80379007274582016000,0.0003174426981323
91,5.238007277387489e+17,45,niki-152-adv-tr-gcg-imdb-small-0018,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,,True,2,m962hvss,crashed,2024-09-08T21:12:36Z,44672000,2,2,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,5.2600377803382906e+17,80379007274582016000,0.0065440442208617
87,4.9057675335315866e+17,43,niki-152-adv-tr-gcg-imdb-small-0018,AlignmentResearch/robust_llm_pythia-70m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,,True,2,m962hvss,crashed,2024-09-08T21:12:36Z,44672000,2,2,clf_imdb_pythia-70m_s-0_adv_tr_gcg_t-2,4.907512953951592e+17,80379007274582016000,0.0061054659921179
