_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
126,6.766688905552256e+16,1,oskar-024a-adv-tr-qwen25-gcg-harmless-0000,AlignmentResearch/robust_llm_Qwen2.5-0.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-0_adv_tr_gcg_t-0,,0,2xkw1bse,crashed,2024-11-14T01:22:47Z,494034560,0,0,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-0_adv_tr_gcg_t-0,6.7222018180082776e+16,53355538944000000000000,1.2598882798398217e-06
251,1.5123504321400576e+17,2,oskar-024a-adv-tr-qwen25-gcg-harmless-0000,AlignmentResearch/robust_llm_Qwen2.5-0.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-0_adv_tr_gcg_t-0,,0,2xkw1bse,crashed,2024-11-14T01:22:47Z,494034560,0,0,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-0_adv_tr_gcg_t-0,1.5479086980450432e+17,53355538944000000000000,2.9011209120568923e-06
1626,2.6535718367699584e+18,13,oskar-024a-adv-tr-qwen25-gcg-harmless-0000,AlignmentResearch/robust_llm_Qwen2.5-0.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-0_adv_tr_gcg_t-0,,0,2xkw1bse,crashed,2024-11-14T01:22:47Z,494034560,0,0,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-0_adv_tr_gcg_t-0,2.660504470929081e+18,53355538944000000000000,4.9863697820041667e-05
376,1.1440656318509998e+18,3,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,1.162872103602104e+18,97254001152000000000000,1.1957061815735792e-05
501,1.8787661750415145e+18,4,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,1.8955262425526024e+18,97254001152000000000000,1.9490470521516648e-05
626,2.7602688222416394e+18,5,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,2.7950415326301363e+18,97254001152000000000000,2.8739604535773455e-05
751,3.8378560683570944e+18,6,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,3.8462866084286013e+18,97254001152000000000000,3.954887781344e-05
876,5.111533961672559e+18,7,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,5.100285385084917e+18,97254001152000000000000,5.244293627686937e-05
251,5.946468645262182e+17,2,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,6.127348572778947e+17,97254001152000000000000,6.3003562837506344e-06
126,2.167688649489193e+17,1,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,2.1784410217966525e+17,97254001152000000000000,2.2399500236416273e-06
1001,6.574012540787217e+18,8,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,6.521753226712647e+18,97254001152000000000000,6.705897083370053e-05
1126,8.171097523198133e+18,9,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,8.182332146638986e+18,97254001152000000000000,8.413362997632019e-05
1251,9.857080857621932e+18,10,oskar-024a-adv-tr-qwen25-gcg-harmless-0001,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_harmless_v-oskar-022a_s-0,,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,,0,lv0vo7zr,finished,2024-11-14T01:22:49Z,1543717376,1,0,oskar-024a_clf_harmless_Qwen2.5-1.5B_s-0_adv_tr_gcg_t-0,9.945129753420048e+18,97254001152000000000000,0.00010225933777137486
751,7.286947393077146e+17,6,oskar-024a-adv-tr-qwen25-gcg-harmless-0005,AlignmentResearch/robust_llm_Qwen2.5-0.5B_clf_harmless_v-oskar-022a_s-1,,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,,1,8b2ah08m,crashed,2024-11-14T01:22:50Z,494034560,0,1,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,7.396962496781939e+17,53355538944000000000000,1.3863532527607898e-05
376,2.6234779784455296e+17,3,oskar-024a-adv-tr-qwen25-gcg-harmless-0005,AlignmentResearch/robust_llm_Qwen2.5-0.5B_clf_harmless_v-oskar-022a_s-1,,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,,1,8b2ah08m,crashed,2024-11-14T01:22:50Z,494034560,0,1,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,2.692764826914031e+17,53355538944000000000000,5.046832775394243e-06
876,9.438263628467276e+17,7,oskar-024a-adv-tr-qwen25-gcg-harmless-0005,AlignmentResearch/robust_llm_Qwen2.5-0.5B_clf_harmless_v-oskar-022a_s-1,,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,,1,8b2ah08m,crashed,2024-11-14T01:22:50Z,494034560,0,1,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,9.433724162270642e+17,53355538944000000000000,1.7680871281558847e-05
1001,1.177955180319227e+18,8,oskar-024a-adv-tr-qwen25-gcg-harmless-0005,AlignmentResearch/robust_llm_Qwen2.5-0.5B_clf_harmless_v-oskar-022a_s-1,,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,,1,8b2ah08m,crashed,2024-11-14T01:22:50Z,494034560,0,1,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,1.1687466465224092e+18,53355538944000000000000,2.1904879411846677e-05
1126,1.4342562135126554e+18,9,oskar-024a-adv-tr-qwen25-gcg-harmless-0005,AlignmentResearch/robust_llm_Qwen2.5-0.5B_clf_harmless_v-oskar-022a_s-1,,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,,1,8b2ah08m,crashed,2024-11-14T01:22:50Z,494034560,0,1,oskar-024a_clf_harmless_Qwen2.5-0.5B_s-1_adv_tr_gcg_t-1,1.4149323392263693e+18,53355538944000000000000,2.6518940061901165e-05
