_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
135,1.926428854523607e+17,67,niki-149-adv-tr-rt-imdb-small-0001,AlignmentResearch/robust_llm_pythia-31m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-31m_s-0_adv_tr_rt_t-0,,True,0,1z2zajro,finished,2024-09-06T20:48:13Z,17617408,1,0,clf_imdb_pythia-31m_s-0_adv_tr_rt_t-0,1.9396130233167686e+17,31699074847604736000,0.006118831646165001
409,3.180835602903905e+17,204,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.1776415687868096e+17,13726930226380800000,0.023148959864893383
411,3.202404243312635e+17,205,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.197570870075445e+17,13726930226380800000,0.023294143827804002
413,3.2226326654092544e+17,206,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.217920176312892e+17,13726930226380800000,0.02344238750575568
415,3.243359203857889e+17,207,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.237945103269293e+17,13726930226380800000,0.023588268096872228
417,3.265150977542308e+17,208,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.258773606096823e+17,13726930226380800000,0.023740002698010517
419,3.2844413037904435e+17,209,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.278737353173178e+17,13726930226380800000,0.0238854375967615
421,3.3045722247486e+17,210,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.299257177762183e+17,13726930226380800000,0.024034923492373975
423,3.325635028562017e+17,211,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.3196257057141824e+17,13726930226380800000,0.024183307199554586
425,3.34629968132929e+17,212,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.339903297905322e+17,13726930226380800000,0.024331028444266455
427,3.3661493085041e+17,213,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.3601965383909395e+17,13726930226380800000,0.02447886368602078
429,3.386777133473336e+17,214,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.380475525622852e+17,13726930226380800000,0.02462659509353489
431,3.4069582085058304e+17,215,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.401097236150102e+17,13726930226380800000,0.024776823223110565
433,3.42764438709098e+17,216,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.421519859971656e+17,13726930226380800000,0.024925601015994697
435,3.449289216900091e+17,217,niki-149-adv-tr-rt-imdb-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,f5bto790,finished,2024-09-06T20:48:13Z,7629056,0,1,clf_imdb_pythia-14m_s-0_adv_tr_rt_t-1,3.44214342751607e+17,13726930226380800000,0.025075842673847513
