_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
3103,5.411213605272156e+17,3,oskar-024b-adv-tr-qwen25-gcg-spam-0006,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-1,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-1_adv_tr_gcg_t-1,,1,bfhvhgxe,failed,2024-11-14T01:25:58Z,1543717376,1,1,oskar-024b_clf_spam_Qwen2.5-1.5B_s-1_adv_tr_gcg_t-1,6.918172857888024e+17,97254001152000000000000,7.113509753779168e-06
126,2.0530372230888858e+17,1,oskar-024b-adv-tr-qwen25-gcg-spam-0006,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-1,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-1_adv_tr_gcg_t-1,,1,bfhvhgxe,failed,2024-11-14T01:25:58Z,1543717376,1,1,oskar-024b_clf_spam_Qwen2.5-1.5B_s-1_adv_tr_gcg_t-1,1.93520671658169e+17,97254001152000000000000,1.989847917472435e-06
2769,2.0355902836770717e+17,2,oskar-024b-adv-tr-qwen25-gcg-spam-0006,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-1,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-1_adv_tr_gcg_t-1,,1,bfhvhgxe,failed,2024-11-14T01:25:58Z,1543717376,1,1,oskar-024b_clf_spam_Qwen2.5-1.5B_s-1_adv_tr_gcg_t-1,3.048903175219971e+17,97254001152000000000000,3.1349899635026698e-06
4719,8.260413061744445e+18,10,oskar-024b-adv-tr-qwen25-gcg-spam-0011,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-2,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,,2,mqfg14ig,finished,2024-11-14T01:26:00Z,1543717376,1,2,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,6.936213948389238e+18,97254001152000000000000,7.132060240430114e-05
4385,6.767672638940497e+18,9,oskar-024b-adv-tr-qwen25-gcg-spam-0011,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-2,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,,2,mqfg14ig,finished,2024-11-14T01:26:00Z,1543717376,1,2,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,5.701581727818372e+18,97254001152000000000000,5.862567771280966e-05
3717,4.272278357573685e+18,8,oskar-024b-adv-tr-qwen25-gcg-spam-0011,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-2,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,,2,mqfg14ig,finished,2024-11-14T01:26:00Z,1543717376,1,2,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,4.254363989802723e+18,97254001152000000000000,4.3744873623795715e-05
3383,3.222025468040282e+18,7,oskar-024b-adv-tr-qwen25-gcg-spam-0011,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-2,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,,2,mqfg14ig,finished,2024-11-14T01:26:00Z,1543717376,1,2,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,3.31921083969108e+18,97254001152000000000000,3.412929854169626e-05
3049,2.3093828273466604e+18,6,oskar-024b-adv-tr-qwen25-gcg-spam-0011,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-2,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,,2,mqfg14ig,finished,2024-11-14T01:26:00Z,1543717376,1,2,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,2.5380499073499837e+18,97254001152000000000000,2.6097125848665295e-05
2715,1.592263669001671e+18,5,oskar-024b-adv-tr-qwen25-gcg-spam-0011,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-2,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,,2,mqfg14ig,finished,2024-11-14T01:26:00Z,1543717376,1,2,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,1.8968195267752735e+18,97254001152000000000000,1.950376852681568e-05
2381,1.0030097193798134e+18,4,oskar-024b-adv-tr-qwen25-gcg-spam-0011,AlignmentResearch/robust_llm_Qwen2.5-1.5B_clf_spam_v-oskar-022c_s-2,,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,,2,mqfg14ig,finished,2024-11-14T01:26:00Z,1543717376,1,2,oskar-024b_clf_spam_Qwen2.5-1.5B_s-2_adv_tr_gcg_t-2,1.3417892922440512e+18,97254001152000000000000,1.3796751561377355e-05
