_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
1,0.0,0,niki-153-adv-tr-rt-wl-small-0006,AlignmentResearch/robust_llm_pythia-1.4b_clf_wl_v-ian-081_s-0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,,True,0,edjof5vn,finished,2024-09-06T03:37:41Z,1311629312,6,0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,0.0,2360081247796985856000,0.0
1,0.0,0,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,0.0,636653181358571520000,0.0
3,1.4692620454526976e+16,1,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,1.4694123208179712e+16,636653181358571520000,2.3080263538184987e-05
5,3.0052814473199616e+16,2,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,3.0050817666973696e+16,636653181358571520000,4.720123694795248e-05
7,4.614654233687654e+16,3,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,4.614645132668437e+16,636653181358571520000,7.248287243018436e-05
9,6.285440759171482e+16,4,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,6.28396548578476e+16,636653181358571520000,9.870311921437721e-05
11,8.037193737078374e+16,5,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,8.036955999846237e+16,636653181358571520000,0.00012623758484479663
13,9.871393171034931e+16,6,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,9.870753325736592e+16,636653181358571520000,0.00015504129429893247
15,1.176321873538089e+17,7,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,1.1763029141767782e+17,636653181358571520000,0.00018476353352489866
19,1.5745223028995686e+17,9,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,1.5747537741233683e+17,636653181358571520000,0.0002473487638533367
21,1.7853544832585728e+17,10,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,1.7854591548386672e+17,636653181358571520000,0.00028044455083513876
23,2.0055822469767168e+17,11,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,2.0053384182507437e+17,636653181358571520000,0.0003149812923217469
25,2.231635054887076e+17,12,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,2.2312928879395142e+17,636653181358571520000,0.00035047227490139885
27,2.4662445467191706e+17,13,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,2.4656642122335683e+17,636653181358571520000,0.000387285304531428
17,1.372129154792407e+17,8,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,1.3722610274337587e+17,636653181358571520000,0.00021554294671165448
31,2.9546602219831296e+17,15,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,2.953906394982728e+17,636653181358571520000,0.0004639741827221073
29,2.705623118972027e+17,14,niki-153-adv-tr-rt-wl-small-0020,AlignmentResearch/robust_llm_pythia-410m_clf_wl_v-ian-081_s-0,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,,True,2,e6430e2z,finished,2024-09-06T03:37:41Z,353824768,4,2,clf_wl_pythia-410m_s-0_adv_tr_rt_t-2,2.704840399368831e+17,636653181358571520000,0.000424853040645599
7,1.9104609120988365e+17,3,niki-153-adv-tr-rt-wl-small-0006,AlignmentResearch/robust_llm_pythia-1.4b_clf_wl_v-ian-081_s-0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,,True,0,edjof5vn,finished,2024-09-06T03:37:41Z,1311629312,6,0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,1.910770407394083e+17,2360081247796985856000,8.096206048743823e-05
9,2.733271669733294e+17,4,niki-153-adv-tr-rt-wl-small-0006,AlignmentResearch/robust_llm_pythia-1.4b_clf_wl_v-ian-081_s-0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,,True,0,edjof5vn,finished,2024-09-06T03:37:41Z,1311629312,6,0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,2.7351469269357363e+17,2360081247796985856000,0.00011589206640613983
11,3.6584617498537165e+17,5,niki-153-adv-tr-rt-wl-small-0006,AlignmentResearch/robust_llm_pythia-1.4b_clf_wl_v-ian-081_s-0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,,True,0,edjof5vn,finished,2024-09-06T03:37:41Z,1311629312,6,0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,3.6601032152257984e+17,2360081247796985856000,0.00015508378021486828
13,4.665521800682373e+17,6,niki-153-adv-tr-rt-wl-small-0006,AlignmentResearch/robust_llm_pythia-1.4b_clf_wl_v-ian-081_s-0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,,True,0,edjof5vn,finished,2024-09-06T03:37:41Z,1311629312,6,0,clf_wl_pythia-1.4b_s-0_adv_tr_rt_t-0,4.6683480227997286e+17,2360081247796985856000,0.00019780454707469885
