_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
5,6.2100950940962e+17,2,niki-158-adv-tr-rt-pm-large-0002,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-2,,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,True,2,ze9t7fvg,finished,2024-09-13T04:34:23Z,6650740736,0,2,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,6.212876640179978e+17,13726930226380800000,0.045260495520257675
1,0.0,0,niki-158-adv-tr-rt-pm-large-0002,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-2,,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,True,2,ze9t7fvg,finished,2024-09-13T04:34:23Z,6650740736,0,2,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,0.0,13726930226380800000,0.0
7,1.041272777253847e+18,3,niki-158-adv-tr-rt-pm-large-0002,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-2,,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,True,2,ze9t7fvg,finished,2024-09-13T04:34:23Z,6650740736,0,2,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,1.0416374739390956e+18,13726930226380800000,0.07588276889010825
11,2.098433642064773e+18,5,niki-158-adv-tr-rt-pm-large-0002,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-2,,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,True,2,ze9t7fvg,finished,2024-09-13T04:34:23Z,6650740736,0,2,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,2.0991582038382344e+18,13726930226380800000,0.15292262503119694
9,1.531952412904915e+18,4,niki-158-adv-tr-rt-pm-large-0002,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-2,,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,True,2,ze9t7fvg,finished,2024-09-13T04:34:23Z,6650740736,0,2,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,1.5323768162416067e+18,13726930226380800000,0.1116328844810941
3,2.7337722725138432e+17,1,niki-158-adv-tr-rt-pm-large-0002,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-2,,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,True,2,ze9t7fvg,finished,2024-09-13T04:34:23Z,6650740736,0,2,clf_pm_pythia-6.9b_s-2_adv_tr_rt_t-2,2.7406045736127693e+17,13726930226380800000,0.01996516721812863
1,0.0,0,niki-158-adv-tr-rt-pm-large-0006,AlignmentResearch/robust_llm_pythia-12b_clf_pm_v-ian-080_s-1,,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,True,1,i96c9k7f,finished,2024-09-13T07:15:43Z,11586560000,1,1,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,0.0,31699074847604736000,0.0
3,4.772594179563848e+17,1,niki-158-adv-tr-rt-pm-large-0006,AlignmentResearch/robust_llm_pythia-12b_clf_pm_v-ian-080_s-1,,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,True,1,i96c9k7f,finished,2024-09-13T07:15:43Z,11586560000,1,1,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,4.773917411608887e+17,31699074847604736000,0.015060115901046925
7,1.815217056467911e+18,3,niki-158-adv-tr-rt-pm-large-0006,AlignmentResearch/robust_llm_pythia-12b_clf_pm_v-ian-080_s-1,,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,True,1,i96c9k7f,finished,2024-09-13T07:15:43Z,11586560000,1,1,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,1.8147009288596357e+18,31699074847604736000,0.05724775683782327
9,2.669026988613697e+18,4,niki-158-adv-tr-rt-pm-large-0006,AlignmentResearch/robust_llm_pythia-12b_clf_pm_v-ian-080_s-1,,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,True,1,i96c9k7f,finished,2024-09-13T07:15:43Z,11586560000,1,1,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,2.669391567170149e+18,31699074847604736000,0.08421039352105429
11,3.6568432748087214e+18,5,niki-158-adv-tr-rt-pm-large-0006,AlignmentResearch/robust_llm_pythia-12b_clf_pm_v-ian-080_s-1,,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,True,1,i96c9k7f,finished,2024-09-13T07:15:43Z,11586560000,1,1,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,3.6568652478773463e+18,31699074847604736000,0.11536189196239803
5,1.0831700741660344e+18,2,niki-158-adv-tr-rt-pm-large-0006,AlignmentResearch/robust_llm_pythia-12b_clf_pm_v-ian-080_s-1,,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,True,1,i96c9k7f,finished,2024-09-13T07:15:43Z,11586560000,1,1,clf_pm_pythia-12b_s-1_adv_tr_rt_t-1,1.0824768978371478e+18,31699074847604736000,0.03414853282126442
5,6.21418824280834e+17,2,niki-158-adv-tr-rt-pm-large-0004,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-4,,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,True,4,fujqmq07,finished,2024-09-13T14:29:57Z,6650740736,0,4,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,6.212876640179978e+17,13726930226380800000,0.045260495520257675
7,1.0415189528254874e+18,3,niki-158-adv-tr-rt-pm-large-0004,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-4,,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,True,4,fujqmq07,finished,2024-09-13T14:29:57Z,6650740736,0,4,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,1.0416374739390956e+18,13726930226380800000,0.07588276889010825
9,1.5327710646003302e+18,4,niki-158-adv-tr-rt-pm-large-0004,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-4,,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,True,4,fujqmq07,finished,2024-09-13T14:29:57Z,6650740736,0,4,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,1.5323768162416067e+18,13726930226380800000,0.1116328844810941
11,2.100615796089684e+18,5,niki-158-adv-tr-rt-pm-large-0004,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-4,,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,True,4,fujqmq07,finished,2024-09-13T14:29:57Z,6650740736,0,4,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,2.0991582038382344e+18,13726930226380800000,0.15292262503119694
3,2.742805830922404e+17,1,niki-158-adv-tr-rt-pm-large-0004,AlignmentResearch/robust_llm_pythia-6.9b_clf_pm_v-ian-080_s-4,,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,True,4,fujqmq07,finished,2024-09-13T14:29:57Z,6650740736,0,4,clf_pm_pythia-6.9b_s-4_adv_tr_rt_t-4,2.7406045736127693e+17,13726930226380800000,0.01996516721812863
