_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
9,1.516060636667183e+18,4,niki-159-adv-tr-rt-wl-large-0000,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-0,,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,True,0,5b8sjf08,finished,2024-09-13T22:11:05Z,6650740736,0,0,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,1.5169483289384714e+18,13726930226380800000,0.11050892689926824
1,0.0,0,niki-159-adv-tr-rt-wl-large-0000,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-0,,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,True,0,5b8sjf08,finished,2024-09-13T22:11:05Z,6650740736,0,0,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,0.0,13726930226380800000,0.0
3,2.7086602751914803e+17,1,niki-159-adv-tr-rt-wl-large-0000,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-0,,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,True,0,5b8sjf08,finished,2024-09-13T22:11:05Z,6650740736,0,0,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,2.710592058401227e+17,13726930226380800000,0.019746527546209383
5,6.148639641105859e+17,2,niki-159-adv-tr-rt-wl-large-0000,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-0,,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,True,0,5b8sjf08,finished,2024-09-13T22:11:05Z,6650740736,0,0,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,6.152684336396108e+17,13726930226380800000,0.04482199759835383
11,2.077032155749286e+18,5,niki-159-adv-tr-rt-wl-large-0000,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-0,,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,True,0,5b8sjf08,finished,2024-09-13T22:11:05Z,6650740736,0,0,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,2.0782080891545452e+18,13726930226380800000,0.15139641965693004
7,1.0311563729908532e+18,3,niki-159-adv-tr-rt-wl-large-0000,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-0,,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,True,0,5b8sjf08,finished,2024-09-13T22:11:05Z,6650740736,0,0,clf_wl_pythia-6.9b_s-0_adv_tr_rt_t-0,1.0313724512754991e+18,13726930226380800000,0.07513496712421387
5,6.159976180859535e+17,2,niki-159-adv-tr-rt-wl-large-0001,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-1,,clf_wl_pythia-6.9b_s-1_adv_tr_rt_t-1,True,1,nss57ij9,finished,2024-09-14T03:08:23Z,6650740736,0,1,clf_wl_pythia-6.9b_s-1_adv_tr_rt_t-1,6.152684336396108e+17,13726930226380800000,0.04482199759835383
7,1.0323510688030392e+18,3,niki-159-adv-tr-rt-wl-large-0001,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-1,,clf_wl_pythia-6.9b_s-1_adv_tr_rt_t-1,True,1,nss57ij9,finished,2024-09-14T03:08:23Z,6650740736,0,1,clf_wl_pythia-6.9b_s-1_adv_tr_rt_t-1,1.0313724512754991e+18,13726930226380800000,0.07513496712421387
9,1.518351722823549e+18,4,niki-159-adv-tr-rt-wl-large-0001,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-1,,clf_wl_pythia-6.9b_s-1_adv_tr_rt_t-1,True,1,nss57ij9,finished,2024-09-14T03:08:23Z,6650740736,0,1,clf_wl_pythia-6.9b_s-1_adv_tr_rt_t-1,1.5169483289384714e+18,13726930226380800000,0.11050892689926824
11,2.080058470647726e+18,5,niki-159-adv-tr-rt-wl-large-0001,AlignmentResearch/robust_llm_pythia-6.9b_clf_wl_v-ian-081_s-1,,clf_wl_pythia-6.9b_s-1_adv_tr_rt_t-1,True,1,nss57ij9,finished,2024-09-14T03:08:23Z,6650740736,0,1,clf_wl_pythia-6.9b_s-1_adv_tr_rt_t-1,2.0782080891545452e+18,13726930226380800000,0.15139641965693004
