_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
67,3.4377452755493376e+16,33,niki-150-adv-tr-rt-spam-small-0016,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,,True,2,reowj51n,finished,2024-09-07T00:52:19Z,7629056,0,2,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,3.467983181681971e+16,13726930226380800000,0.0025264083990294522
9,4045537862860800.0,4,niki-150-adv-tr-rt-spam-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,vog55gcr,finished,2024-09-07T00:52:19Z,7629056,0,1,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,4026166972052275.0,13726930226380800000,0.00029330424979611785
7,3090059002126336.0,3,niki-150-adv-tr-rt-spam-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,vog55gcr,finished,2024-09-07T00:52:19Z,7629056,0,1,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,3023379514524057.5,13726930226380800000,0.0002202516851665525
5,2023193513795584.0,2,niki-150-adv-tr-rt-spam-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,vog55gcr,finished,2024-09-07T00:52:19Z,7629056,0,1,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,2002930616889753.5,13726930226380800000,0.00014591249346051642
3,1027426872029184.0,1,niki-150-adv-tr-rt-spam-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,vog55gcr,finished,2024-09-07T00:52:19Z,7629056,0,1,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,1011904457286451.2,13726930226380800000,7.371673350111046e-05
1,0.0,0,niki-150-adv-tr-rt-spam-small-0008,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,,True,1,vog55gcr,finished,2024-09-07T00:52:19Z,7629056,0,1,clf_spam_pythia-14m_s-0_adv_tr_rt_t-1,0.0,13726930226380800000,0.0
501,3.7065023839712e+17,250,niki-150-adv-tr-rt-spam-small-0016,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,,True,2,reowj51n,finished,2024-09-07T00:52:19Z,7629056,0,2,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,3.699301073704663e+17,13726930226380800000,0.026949223261842202
499,3.688727961981916e+17,249,niki-150-adv-tr-rt-spam-small-0016,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,,True,2,reowj51n,finished,2024-09-07T00:52:19Z,7629056,0,2,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,3.6798650869686976e+17,13726930226380800000,0.02680763307076938
497,3.668054094867169e+17,248,niki-150-adv-tr-rt-spam-small-0016,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,,True,2,reowj51n,finished,2024-09-07T00:52:19Z,7629056,0,2,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,3.6604692138948096e+17,13726930226380800000,0.02666633510571808
495,3.648140603136118e+17,247,niki-150-adv-tr-rt-spam-small-0016,AlignmentResearch/robust_llm_pythia-14m_clf_spam_v-ian-082_s-0,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,,True,2,reowj51n,finished,2024-09-07T00:52:19Z,7629056,0,2,clf_spam_pythia-14m_s-0_adv_tr_rt_t-2,3.641179793333832e+17,13726930226380800000,0.026525812641897968
