_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
9,1.0774021971340984e+18,4,niki-170-adv-tr-gcg-spam-small-0025,AlignmentResearch/robust_llm_pythia-1b_clf_spam_v-ian-082_s-0,,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,True,0,wjw99lcw,finished,2024-09-17T15:38:34Z,908763136,5,0,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,1.0973383927644652e+18,1635181409222000640000,0.0006710805214490333
7,6.480951448677908e+17,3,niki-170-adv-tr-gcg-spam-small-0025,AlignmentResearch/robust_llm_pythia-1b_clf_spam_v-ian-082_s-0,,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,True,0,wjw99lcw,finished,2024-09-17T15:38:34Z,908763136,5,0,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,6.566950318689092e+17,1635181409222000640000,0.0004016037781284198
5,3.2021079266831565e+17,2,niki-170-adv-tr-gcg-spam-small-0025,AlignmentResearch/robust_llm_pythia-1b_clf_spam_v-ian-082_s-0,,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,True,0,wjw99lcw,finished,2024-09-17T15:38:34Z,908763136,5,0,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,3.292899222777627e+17,1635181409222000640000,0.0002013782204351472
3,1.1529580033295974e+17,1,niki-170-adv-tr-gcg-spam-small-0025,AlignmentResearch/robust_llm_pythia-1b_clf_spam_v-ian-082_s-0,,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,True,0,wjw99lcw,finished,2024-09-17T15:38:34Z,908763136,5,0,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,1.1481448924377251e+17,1635181409222000640000,7.021513857499141e-05
13,2.338858854813319e+18,6,niki-170-adv-tr-gcg-spam-small-0025,AlignmentResearch/robust_llm_pythia-1b_clf_spam_v-ian-082_s-0,,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,True,0,wjw99lcw,finished,2024-09-17T15:38:34Z,908763136,5,0,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,2.3078439457146767e+18,1635181409222000640000,0.0014113687525427045
15,3.11222812524562e+18,7,niki-170-adv-tr-gcg-spam-small-0025,AlignmentResearch/robust_llm_pythia-1b_clf_spam_v-ian-082_s-0,,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,True,0,wjw99lcw,finished,2024-09-17T15:38:34Z,908763136,5,0,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,3.0970789361121884e+18,1635181409222000640000,0.0018940277321191786
17,3.911873902176993e+18,8,niki-170-adv-tr-gcg-spam-small-0025,AlignmentResearch/robust_llm_pythia-1b_clf_spam_v-ian-082_s-0,,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,True,0,wjw99lcw,finished,2024-09-17T15:38:34Z,908763136,5,0,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,3.9324380676242867e+18,1635181409222000640000,0.0024048940658488115
1,0.0,0,niki-170-adv-tr-gcg-spam-small-0025,AlignmentResearch/robust_llm_pythia-1b_clf_spam_v-ian-082_s-0,,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,True,0,wjw99lcw,finished,2024-09-17T15:38:34Z,908763136,5,0,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,0.0,1635181409222000640000,0.0
11,1.6276151615426068e+18,5,niki-170-adv-tr-gcg-spam-small-0025,AlignmentResearch/robust_llm_pythia-1b_clf_spam_v-ian-082_s-0,,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,True,0,wjw99lcw,finished,2024-09-17T15:38:34Z,908763136,5,0,clf_spam_pythia-1b_s-0_adv_tr_gcg_t-0,1.6426586135785405e+18,1635181409222000640000,0.0010045727063152567
26,1.2800559393796096e+17,25,niki-170-adv-tr-gcg-spam-small-0006,AlignmentResearch/robust_llm_pythia-31m_clf_spam_v-ian-082_s-1,,clf_spam_pythia-31m_s-1_adv_tr_gcg_t-1,True,1,8168v5di,finished,2024-09-18T04:17:23Z,17617408,1,1,clf_spam_pythia-31m_s-1_adv_tr_gcg_t-1,1.2608507586196931e+17,31699074847604736000,0.003977563271739984
46,3.382229166537247e+17,45,niki-170-adv-tr-gcg-spam-small-0006,AlignmentResearch/robust_llm_pythia-31m_clf_spam_v-ian-082_s-1,,clf_spam_pythia-31m_s-1_adv_tr_gcg_t-1,True,1,8168v5di,finished,2024-09-18T04:17:23Z,17617408,1,1,clf_spam_pythia-31m_s-1_adv_tr_gcg_t-1,3.396149434625073e+17,31699074847604736000,0.010713717832309845
45,3.2525234303854694e+17,44,niki-170-adv-tr-gcg-spam-small-0006,AlignmentResearch/robust_llm_pythia-31m_clf_spam_v-ian-082_s-1,,clf_spam_pythia-31m_s-1_adv_tr_gcg_t-1,True,1,8168v5di,finished,2024-09-18T04:17:23Z,17617408,1,1,clf_spam_pythia-31m_s-1_adv_tr_gcg_t-1,3.2645660949786214e+17,31699074847604736000,0.010298616318215043
44,3.1300721757420954e+17,43,niki-170-adv-tr-gcg-spam-small-0006,AlignmentResearch/robust_llm_pythia-31m_clf_spam_v-ian-082_s-1,,clf_spam_pythia-31m_s-1_adv_tr_gcg_t-1,True,1,8168v5di,finished,2024-09-18T04:17:23Z,17617408,1,1,clf_spam_pythia-31m_s-1_adv_tr_gcg_t-1,3.1374295421384006e+17,31699074847604736000,0.009897542932157444
